case_id,gps_nac_adopter,survey_source,state,home,havesolar,consideredsolar,consider_seriously,consider_actn1,consider_actn2,consider_actn3,consider_actn4,consider_actn5,consider_actn1_infl,consider_actn3_infl,consider_actn4_infl,decsn_status,reconsider,reconsider_why1,reconsider_why2,reconsider_why3,reconsider_why4,reconsider_why5,reconsider_why6,reconsider_why7,prompt1,prompt2,prompt3,prompt4,prompt5,prompt6,prompt7,prompt8,prompt9,prompt10,prompt11,prompt12,prompt13,prompt14,prompt15,prompt_home1,prompt_home2,prompt_home3,prompt_home4,prompt_home5,time_considered,inst_talkedto,fndallinst1,fndallinst2,fndallinst3,fndallinst4,fndallinst5,fndallinst6,fndallinst7,fndallinst8,fndallinst9,fndallinst10,fndallinst_rec1,fndallinst_rec2,fndallinst_rec3,fndallinst_rec4,fndallinst_rec5,fndallinst_who1,fndallinst_who2,fndallinst_who3,fndallinst_who4,fndallinst_who5,inst_qote_buy_text_clnd,inst_qote_lse_text_clnd,motive1,motive2,motive3,motive4,motive5,motive6,motive7,motive8,motive9,inflnc_saw,inflnc_ppltalk,inflnc_ads,inflnc_othknew,inflnc_othknew_num,inflnc_oth_mult1,inflnc_oth_mult2,inflnc_oth_mult3,inflnc_oth_mult4,inflnc_oth_mult5,inflnc_oth_mult6,inflnc_oth_mult7,inflnc_oth_one1,inflnc_oth_one2,inflnc_oth_one3,inflnc_oth_one4,inflnc_oth_one5,inflnc_oth_one6,difficulty1,difficulty2,difficulty3,difficulty4,difficulty5,difficulty6,difficulty1_stop,difficulty2_stop,difficulty3_stop,difficulty4_stop,difficulty5_stop,difficulty6_stop,concern1,concern2,concern3,concern4,concern5,concern6,concern7,concern8,concern9,concern1_stop,concern2_stop,concern3_stop,concern4_stop,concern5_stop,concern6_stop,concern7_stop,concern8_stop,concern9_stop,nps_panels,econeval,econeval_svg_period,econeval_svgs_clnd,econeval_pybk,econeval_pybk_yrs_clnd,econeval_ror,econeval_ror_pct_clnd,f3,winter_nopv_binned,summer_nopv_binned,pn1,pn2,pn3,e2,bb1,bb2,bb3,bte8,be13,be10,co3,pbc7,pbc9,m4,m1,vb1,vb2,vb3,va1,va2,va3,vt1,vt2,vt3,ve1,ve2,ve4,vo1,vo2,vo3,risk_aversion_clnd,discounting_clnd,cijm1,cijm2,cijm3,cns1,cns2,cns4,home_moved_since2009,sqft_binned,ee1,ee2,ee3,ee4,ee5,ee6,ee7,ee8,hmyrs_1,hmyrs_1_cleaned,has_pool,has_ac,stance,people_tot_3plus,have_kids,gender,age_binned,educ_binned,financial,income_binned,retired,retired_last5yrs,retire_when,retire_when_binned
2946,2,4,2,,2,true,3,true,false,false,true,,3,,3,1,2,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,,,,,,1,1,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,0,1,4,4,4,4,4,3,3,1,3,4,2,2,true,1,,,,,,,,0,0,1,0,1,98,1,4,1,1,1,1,99,98,99,99,99,99,2,3,3,4,3,2,2,3,3,0,1,1,1,0,0,0,1,1,6,1,98,,,,,,1,5,6,3,3,2,4,3,3,4,4,4,4,3,4,2,3,2,4,3,3,4,3,4,4,4,3,2,2,3,3,3,3,100,10000,2,2,3,3,2,4,true,1,false,false,false,false,false,false,false,true,2,5,0,0,97,true,1,1,1,3,3,4,0,,1,6
2947,2,4,3,,2,true,2,true,true,false,true,,3,,3,2,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,,,,,,6,3,false,false,true,false,true,false,false,false,true,false,,,,,,,,,,,1,2,5,5,2,4,4,2,1,1,1,3,2,3,true,3,1,1,1,3,3,1,2,,,,,,,4,1,2,1,1,1,1,99,0,99,99,99,4,4,5,4,4,3,3,1,1,1,1,1,1,0,0,0,99,99,6,2,,,1,10,,,1,6,11,3,3,3,1,3,3,3,4,4,4,4,2,3,2,2,1,1,1,1,3,1,4,5,3,1,1,1,3,2,2,100,5750,3,3,3,3,3,3,true,4,false,false,true,false,false,false,false,false,2,20,1,1,4,true,1,0,2,2,1,4,0,,1,5
2948,2,4,4,,2,true,3,true,false,false,true,,5,,5,2,,,,,,,,,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,,,,,,6,2,false,false,false,false,false,false,true,true,false,false,,,,,,,,,,,1,1,5,2,2,2,5,5,5,2,1,2,2,3,false,,,,,,,,,,,,,,,1,1,1,1,1,2,99,99,99,99,99,0,4,4,4,4,2,1,3,3,4,1,1,1,1,0,99,0,1,1,11,1,1,75,,,,,1,6,7,5,5,3,5,5,5,5,4,2,2,4,4,3,5,5,5,5,5,5,4,5,3,5,3,3,5,2,3,5,5,20,8000,1,3,2,4,3,2,false,3,true,true,false,false,false,false,true,false,2,10,1,1,1,true,0,1,4,4,1,3,0,,2,
2949,2,4,4,,2,true,3,true,true,true,true,,3,3,3,2,,,,,,,,,true,true,true,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,4,2,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,,1,5,4,1,4,2,2,2,1,1,4,3,4,true,2,1,1,2,3,2,1,1,,,,,,,4,1,2,1,1,3,1,99,0,99,99,0,4,4,4,4,4,2,1,1,1,1,0,1,1,1,0,99,99,99,1,1,1,20,,,,,1,5,5,2,2,2,2,98,2,2,4,3,4,3,4,4,3,4,3,3,2,3,3,2,4,5,3,2,2,3,1,2,2,5,15000,3,3,4,2,2,3,true,2,false,false,false,true,true,false,false,false,3,,0,1,3,true,0,0,3,1,2,4,1,false,,
2950,2,4,2,,2,true,2,false,false,false,true,,,,2,2,,,,,,,,,true,false,true,false,false,false,false,true,true,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,4,4,4,4,3,3,3,4,true,3,2,1,2,1,2,1,1,,,,,,,4,2,4,4,3,5,98,98,1,1,98,98,4,4,4,4,4,4,4,3,2,98,98,98,98,98,98,98,98,98,6,3,,,,,98,,0,9,5,4,4,3,4,5,4,4,4,3,4,4,1,4,3,3,5,4,4,5,4,5,5,5,5,4,5,4,4,4,4,100,15000,4,4,4,4,3,3,false,1,true,true,true,true,true,true,false,false,3,,0,0,4,false,0,0,4,3,1,2,1,false,,
2951,2,4,2,,2,true,3,true,true,true,false,,3,3,,2,,,,,,,,,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,7,2,false,false,false,false,false,false,false,false,false,true,,,,,,,,,,,1,1,2,1,1,1,5,1,5,5,1,4,4,4,true,4,2,99,2,2,2,1,2,,,,,,,1,1,1,1,1,5,99,99,99,99,99,1,2,1,1,1,1,1,1,1,1,1,99,99,99,99,99,99,99,99,11,90,,,,,,,1,3,3,5,5,3,5,4,5,5,3,3,3,4,4,1,4,3,5,5,5,5,5,4,4,5,2,2,2,2,4,4,5,5,5,4,2,2,3,2,3,false,2,false,false,false,false,true,false,true,false,2,4,0,0,90,,99,0,4,3,2,95,0,,1,1
2952,2,4,2,,2,true,4,true,true,true,true,,5,5,5,1,5,true,true,true,true,true,false,false,true,false,false,false,false,false,false,true,true,true,false,true,false,false,false,,,,,,7,1,false,false,false,false,false,false,false,true,true,false,,,,,,,,,,,1,1,5,5,3,5,5,3,5,4,2,5,4,5,true,3,3,1,1,2,3,3,3,,,,,,,4,1,1,1,1,5,1,99,99,99,99,1,5,4,3,3,4,3,3,2,1,1,1,1,0,0,0,0,0,99,11,1,1,0,,,,,1,5,3,5,5,4,5,5,5,5,4,5,2,3,4,4,2,3,5,5,5,5,4,4,4,4,3,1,5,3,3,2,3,20,,4,4,5,3,2,2,false,3,true,true,false,true,false,false,false,false,3,,0,0,1,true,0,1,3,4,1,95,0,,1,3
2953,2,4,4,,2,true,3,true,false,true,true,,2,2,5,2,,,,,,,,,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,8,3,false,false,false,false,true,false,false,false,false,false,,,,,,,,,,,1,,3,3,2,3,5,5,5,5,4,4,4,5,false,,,,,,,,,,,,,,,1,1,2,2,1,4,99,99,0,0,99,1,3,3,3,2,4,3,5,1,1,0,0,0,0,0,0,1,99,99,11,3,,,,,1,10,1,3,4,4,4,4,5,5,4,5,4,3,5,5,2,4,2,2,5,4,3,5,4,5,5,5,4,5,4,4,4,3,3,,5450,2,2,2,3,3,2,true,1,true,true,true,true,true,true,false,false,3,,0,1,90,false,1,0,2,4,1,5,0,,2,
2954,2,4,4,,2,true,4,true,true,false,false,,5,,,3,,,,,,,,,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,,,,,,98,2,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,0,0,5,4,4,5,5,4,4,4,2,5,3,5,true,2,98,98,2,2,1,98,98,,,,,,,1,1,5,5,3,1,99,99,0,1,0,99,5,4,4,5,5,1,5,1,1,1,0,0,1,0,99,1,99,99,6,1,98,,,,,,1,9,9,3,3,3,3,2,3,3,3,3,5,3,1,3,3,3,5,4,5,4,3,5,0,5,0,5,0,4,3,5,4,25,500,4,4,4,3,3,4,false,2,true,false,false,true,false,false,false,false,3,,0,1,4,false,0,1,4,4,2,4,1,true,,
2955,2,4,4,,2,true,3,true,true,true,true,,1,1,3,1,1,,,,,,,,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,,,,,,5,3,false,false,false,false,true,false,false,false,false,false,,,,,,,,,,,3,3,5,5,5,5,5,5,5,5,5,4,3,4,false,,,,,,,,,,,,,,,4,3,3,1,1,1,1,0,0,99,99,99,5,2,2,2,4,3,3,1,1,1,1,0,1,1,0,0,99,99,1,2,,,98,,,,1,7,7,5,5,4,5,5,4,4,4,4,4,4,1,5,4,4,5,5,5,5,4,4,5,5,4,4,4,3,5,4,4,1,,3,4,3,2,3,3,false,,true,true,true,true,true,false,false,false,98,,0,0,3,true,1,1,,4,2,99,0,,98,
2956,2,4,4,,2,true,2,true,true,false,false,,3,,,2,,,,,,,,,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,,,,,,98,1,false,false,false,true,false,false,false,false,false,false,,,,,,,,,,,1,1,5,3,3,5,3,3,3,2,2,4,2,4,false,,,,,,,,,,,,,,,5,1,3,1,1,1,1,99,0,99,99,99,5,4,3,5,4,4,4,2,3,1,0,0,1,0,0,0,0,0,6,1,2,3600,,,,,1,9,7,3,4,4,3,3,3,4,5,4,5,4,98,3,3,3,3,2,3,5,3,4,4,5,4,1,2,2,2,2,2,25,10000,4,3,4,2,2,2,false,3,true,true,false,true,true,false,false,false,3,,1,1,4,true,0,1,4,2,2,4,1,true,,
2957,2,4,2,,2,true,3,true,false,true,true,,3,3,3,2,,,,,,,,,true,false,true,false,false,false,false,true,false,true,false,true,false,false,false,,,,,,6,3,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,1,,4,4,4,4,4,2,4,2,1,3,3,4,true,2,3,1,1,3,3,2,3,,,,,,,1,1,1,5,1,5,99,99,99,1,99,1,4,4,4,3,4,4,5,3,1,0,0,0,1,0,0,1,0,99,11,4,,,,,,,1,,,4,4,4,5,5,5,5,5,5,5,5,2,5,4,3,4,4,4,2,4,4,2,3,3,1,3,2,5,3,4,1000,5500,3,4,3,4,3,4,false,2,true,true,true,true,true,false,false,false,3,,0,1,2,false,0,0,4,3,1,3,1,true,,
2958,2,4,4,,2,true,4,true,true,false,true,,3,,3,3,,,,,,,,,false,false,true,false,false,false,true,true,false,true,true,true,false,false,false,,,,,,1,5,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,,,,,,4,4,5,5,3,5,98,98,98,3,1,4,5,4,true,3,3,99,99,2,3,3,99,,,,,,,1,1,3,1,1,3,99,99,1,99,99,0,1,1,1,4,5,3,3,1,3,99,99,99,0,0,0,0,99,0,8,1,98,,,,,,1,8,7,98,98,4,4,98,98,98,4,98,5,5,4,3,2,3,3,3,3,4,5,5,4,5,1,1,4,4,4,3,3,100,7000,3,3,3,3,1,3,true,2,true,false,true,true,true,false,true,false,2,7,0,0,1,false,0,1,4,4,1,95,0,,1,1
2959,2,4,4,,2,true,1,true,true,false,false,,2,,,1,1,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,,,,,,6,2,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,,2,3,5,5,5,5,3,5,2,3,3,3,3,true,3,1,1,2,3,1,1,1,,,,,,,1,1,5,4,1,1,99,99,0,0,99,99,1,4,5,5,5,3,4,1,1,99,1,1,1,1,1,1,99,99,1,1,1,0,,,,,1,4,3,5,5,4,5,4,4,5,3,1,1,3,3,3,5,5,4,5,4,4,5,4,3,2,3,1,1,1,2,1,1,0,6000,1,2,2,2,3,3,false,1,true,true,true,true,true,false,false,false,3,,0,1,3,false,0,0,4,2,1,1,1,true,,
2960,2,4,4,,2,true,2,true,false,false,false,,2,,,1,1,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,,,,,,1,2,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,1,1,4,3,2,4,4,3,4,2,1,4,3,3,false,,,,,,,,,,,,,,,2,1,4,1,3,5,98,99,98,99,0,1,3,3,3,4,4,2,3,1,1,98,98,98,98,98,98,98,99,99,8,4,,,,,,,1,3,5,2,3,98,4,98,98,3,4,98,4,98,2,2,3,3,4,4,2,5,5,4,5,5,5,1,3,2,3,3,4,0,,3,3,4,3,3,4,false,1,true,true,true,true,true,false,true,false,3,,0,1,90,false,0,0,4,3,1,95,0,,1,1
2961,2,4,4,,2,true,3,true,true,false,false,,4,,,2,,,,,,,,,false,false,true,false,false,false,false,true,false,true,false,true,false,true,false,,,,,,6,1,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,,1,5,3,1,5,5,3,5,5,3,5,5,5,true,2,3,1,3,3,3,3,1,,,,,,,2,1,1,1,1,1,0,99,99,99,99,99,2,2,1,5,2,1,1,1,4,1,0,99,1,0,99,99,99,1,10,1,1,100,,,,,1,4,6,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,2,1,2,2,4,4,5,10,,5,5,5,2,2,2,false,1,true,true,false,true,false,false,false,false,3,,0,1,1,true,0,0,3,3,1,4,0,,1,1
2962,2,4,4,,2,true,1,true,true,false,false,,4,,,2,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,,,,,,1,1,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,0,0,5,3,1,4,1,1,1,1,1,4,3,4,true,2,98,98,2,3,2,98,1,,,,,,,1,1,1,1,1,1,,,,,,,1,3,3,3,1,1,1,3,1,99,1,1,1,99,99,99,1,99,1,2,,,98,,,,1,7,3,1,2,4,3,3,3,3,4,2,2,3,5,3,3,3,4,2,1,5,2,4,5,5,2,1,2,4,1,3,3,100,5500,3,3,4,1,1,2,false,2,false,false,false,false,false,false,false,true,2,10,1,1,4,false,0,0,3,2,1,95,1,true,,
2963,2,4,4,,2,true,4,true,false,false,false,,1,,,2,,,,,,,,,true,false,true,true,true,false,false,true,true,false,false,true,false,false,false,,,,,,2,5,false,false,false,false,false,true,false,false,false,false,,,,,,,,,,,,,5,5,2,5,5,4,1,1,1,5,1,4,false,,,,,,,,,,,,,,,1,1,3,5,4,2,99,99,0,1,98,1,1,1,1,1,4,2,1,1,1,99,99,99,99,99,99,99,99,99,11,90,,,,,,,1,6,5,1,3,3,1,3,98,3,4,5,5,5,1,1,3,2,2,1,1,2,4,5,4,5,5,1,1,1,4,5,5,1,8500,1,1,2,4,1,5,false,2,false,true,false,false,false,false,false,false,3,,0,1,90,,99,0,4,3,1,3,1,false,,
2964,2,4,1,,2,true,3,true,false,false,false,,1,,,1,3,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,true,false,,,,,,5,1,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,0,0,3,3,3,3,4,4,4,1,1,4,2,3,false,,,,,,,,,,,,,,,1,1,1,4,1,4,99,99,99,1,99,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,99,99,1,4,,,,,,,1,3,5,4,4,4,5,4,2,4,4,1,3,3,4,4,4,4,3,4,3,4,4,4,4,4,3,2,2,2,3,3,3,50,10000,3,3,3,2,3,2,false,2,true,true,false,true,true,false,false,false,98,,0,1,1,false,0,1,2,4,1,95,0,,1,3
2965,2,4,4,,2,true,2,false,false,false,true,,,,1,2,,,,,,,,,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,3,4,98,4,98,1,2,2,4,false,,,,,,,,,,,,,,,1,3,5,1,3,2,99,98,1,99,1,0,1,4,4,1,5,5,4,1,1,99,1,1,99,1,1,98,99,99,3,1,98,,,,,,1,7,9,3,2,98,98,98,98,98,98,98,98,3,4,5,3,98,4,4,4,4,4,3,3,5,3,1,2,4,3,3,3,100,15000,4,5,5,2,3,3,true,3,true,true,true,false,true,false,true,false,1,,0,1,5,false,0,1,4,2,1,3,0,,2,
2966,2,4,4,,2,true,3,true,true,true,false,,3,4,,2,,,,,,,,,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,,,,,,3,3,false,false,false,false,false,false,true,false,false,false,,,,,,,,,,,2,2,5,5,3,5,4,3,4,4,2,4,4,4,true,3,3,1,2,2,3,2,1,,,,,,,5,1,1,1,2,3,1,99,99,99,0,0,5,2,4,5,4,5,5,2,2,1,0,1,1,1,1,1,0,0,8,2,,,1,10,,,1,6,7,4,4,2,5,4,4,4,5,4,2,4,4,1,4,2,4,4,4,4,4,5,3,4,4,3,4,2,4,4,3,,,4,4,4,2,3,3,true,2,true,false,true,false,false,false,false,false,3,,1,1,2,false,0,0,4,4,1,5,0,,1,4
2967,2,4,4,,2,true,3,true,false,false,true,,3,,3,1,2,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,false,,,,,,1,2,false,false,false,true,false,false,true,false,false,false,,,,,,,,,,,0,2,4,2,2,4,4,3,3,2,1,3,4,4,true,1,,,,,,,,1,0,1,0,1,0,2,3,4,2,2,4,0,0,0,0,0,1,3,3,4,4,4,2,3,2,2,0,0,0,0,1,0,0,0,0,5,1,1,20,,,,,1,5,6,3,3,3,5,3,3,4,3,2,2,3,2,4,4,4,4,4,4,5,5,4,3,4,3,1,3,2,4,3,4,1,10000,3,2,3,3,3,2,false,2,true,true,true,true,true,false,false,false,3,,0,1,1,false,0,1,4,3,1,3,1,true,,
2968,2,4,2,,2,true,4,true,false,false,true,,2,,4,90,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,,,,,,98,3,false,false,false,false,false,true,false,false,false,false,,,,,,,,,,,3,,5,98,5,5,5,1,5,98,98,2,2,4,false,,,,,,,,,,,,,,,5,1,1,1,1,1,1,99,99,99,99,99,5,1,1,1,1,1,1,1,1,1,99,99,99,99,99,99,99,99,10,1,98,,,,,,0,6,3,4,5,5,98,4,4,5,4,4,4,4,98,98,98,98,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,10,10000,4,4,4,1,1,3,false,,true,true,false,true,false,true,false,false,3,,0,0,3,false,0,1,4,2,3,1,1,false,,
2969,2,4,2,,2,true,4,true,true,false,true,,4,,5,3,,,,,,,,,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5,2,false,false,false,true,false,false,false,false,true,false,,,,,,,,,,,,,5,4,2,3,5,4,5,2,3,3,3,3,true,2,1,1,2,1,3,1,1,,,,,,,4,1,3,1,3,1,0,99,0,99,0,99,3,4,4,3,5,5,1,1,1,0,0,0,0,0,0,99,99,99,9,4,,,,,,,1,11,8,4,5,4,5,4,3,5,4,4,5,4,1,3,2,2,5,4,4,5,5,4,4,5,4,3,3,3,4,4,4,,,4,4,3,4,4,4,true,4,true,false,true,false,false,true,true,false,3,,0,1,2,,99,0,1,2,99,99,0,,98,
2970,2,4,4,,2,true,4,true,true,true,true,,2,2,4,90,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,4,4,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,,,,,,3,1,4,5,3,5,2,2,3,4,1,4,1,3,false,,,,,,,,,,,,,,,1,1,5,5,1,2,99,99,1,1,99,0,3,5,5,1,4,3,1,1,1,1,0,0,99,0,0,99,99,99,11,90,,,,,,,1,5,5,2,2,2,5,4,4,3,5,4,5,4,1,5,4,2,4,4,1,4,4,2,4,5,4,2,3,3,4,4,5,200,7000,5,5,4,5,5,4,true,2,true,true,true,true,true,false,false,false,2,2,0,1,3,true,1,0,2,3,1,5,0,,1,5
2971,2,4,2,,2,true,3,true,false,false,true,,3,,3,90,,,,,,,,,true,true,false,false,true,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,5,2,false,false,true,false,false,false,false,false,true,false,,,,,,,,,,,1,2,3,3,3,2,4,4,4,4,3,4,3,4,false,,,,,,,,,,,,,,,3,1,1,1,1,1,1,99,99,99,99,99,4,4,2,4,4,4,5,1,1,1,1,1,1,98,1,1,99,99,10,1,1,45,,,,,1,5,5,4,4,2,4,4,4,4,3,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,2,4,4,4,500,10000,3,3,3,3,3,3,true,3,false,true,false,false,true,false,false,false,98,,0,0,2,true,0,1,1,4,2,2,0,,2,
2972,2,4,3,,2,true,2,true,true,true,true,,3,4,4,2,,,,,,,,,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,,,,,,6,3,false,false,false,false,false,true,true,false,false,false,,,,,,,,,,,2,1,5,4,4,4,4,4,3,3,1,3,3,3,true,4,2,98,2,3,2,2,2,,,,,,,4,3,3,1,1,2,1,1,0,99,99,0,4,4,4,3,4,2,3,3,3,1,0,1,1,1,0,1,0,1,6,2,,,1,8.5,,,1,5,8,3,3,3,2,3,2,4,4,3,4,3,4,4,4,4,2,2,3,2,3,2,4,2,4,2,2,2,2,4,2,0,,3,3,3,1,2,2,false,4,false,false,false,false,false,false,false,true,98,,1,1,4,true,1,0,3,3,1,3,0,,98,
2973,2,4,4,,2,true,3,true,false,false,true,,3,,2,2,,,,,,,,,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,,,,,,3,5,false,false,false,true,true,false,false,false,false,false,,,,,,,,,,,5,0,5,5,3,3,2,2,2,1,1,2,3,3,true,1,,,,,,,,98,98,1,0,1,0,1,1,3,1,1,2,99,99,0,99,99,0,4,4,4,2,4,3,1,1,1,0,1,1,0,0,0,99,99,99,3,2,,,1,10,,,1,8,10,3,3,5,3,3,3,4,4,4,4,3,3,3,4,4,2,1,2,3,3,3,4,4,4,4,3,3,3,3,3,200,6500,2,3,3,3,3,4,false,4,true,true,true,true,false,false,false,false,2,15,0,1,4,true,1,0,3,3,1,5,0,,1,2
2974,2,4,4,,2,true,3,true,true,true,true,,2,2,2,1,3,false,true,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,false,true,false,true,false,,,,,,3,3,false,false,false,false,true,false,true,true,false,false,,,,,,,,,,,2,2,5,5,98,1,2,1,1,1,1,4,4,4,true,2,1,2,2,1,3,2,1,,,,,,,1,4,5,3,1,1,99,1,1,0,99,99,1,5,4,1,5,4,5,4,4,99,1,1,99,1,1,1,1,1,2,2,,,98,,,,1,10,11,2,3,3,1,2,2,2,3,1,2,2,2,3,4,5,2,3,2,3,3,4,5,5,5,3,3,3,2,2,3,0,7500,4,2,3,1,1,3,,2,true,true,true,true,true,true,false,false,3,,1,1,4,,99,0,,4,99,99,0,,99,
2975,2,4,1,,2,true,3,true,true,false,false,,3,,,2,,,,,,,,,false,false,true,true,false,false,false,true,true,true,false,true,false,false,false,,,,,,6,2,false,false,false,true,false,false,true,false,false,false,,,,,,,,,,,,1,4,1,4,4,3,2,2,2,2,4,3,4,true,2,1,1,1,3,3,1,1,,,,,,,1,1,1,1,1,3,99,99,99,99,99,0,1,4,4,3,3,1,3,3,1,99,0,0,0,0,99,0,0,99,6,1,1,200,,,,,1,,,3,3,3,3,2,3,3,5,5,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,1,5500,3,3,3,3,3,3,false,3,true,true,true,true,true,false,false,false,2,5,0,1,4,true,1,0,3,2,1,4,1,true,,
2976,2,4,2,,2,true,4,true,true,true,true,,3,5,5,3,,,,,,,,,false,true,true,false,false,false,false,false,true,true,false,false,false,false,false,true,true,true,true,true,8,5,false,false,false,false,false,false,false,false,false,true,,,,,,,,,,,0,2,5,5,1,5,5,5,5,5,98,3,3,3,true,4,3,1,2,2,1,1,1,,,,,,,5,1,1,1,1,1,1,99,99,99,99,99,1,1,1,3,4,1,1,1,1,99,99,99,1,1,99,99,99,99,11,90,,,,,,,1,,,5,5,5,5,5,3,5,5,5,5,5,1,5,1,1,5,5,5,5,5,5,3,5,5,99,3,3,4,3,5,3,,99,99,99,99,99,99,false,1,false,true,true,true,true,true,true,false,3,,0,0,90,true,1,1,4,4,4,95,0,,2,
2977,2,4,4,,2,true,2,true,true,false,false,,3,,,2,,,,,,,,,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,,,,,,6,3,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,,,,,,,,4,5,5,5,5,5,5,5,4,4,4,4,true,2,3,1,3,3,3,3,3,,,,,,,1,1,3,1,1,1,99,99,0,99,99,99,4,4,5,1,5,5,5,3,1,0,1,1,99,1,1,1,0,99,9,1,1,80,,,,,1,6,4,4,4,4,5,4,3,5,5,3,4,4,3,2,3,3,5,5,5,5,5,5,5,5,5,3,3,3,4,3,4,10,15000,4,1,4,1,1,2,false,3,true,true,true,true,false,false,true,false,3,,1,1,4,false,0,1,4,2,1,5,1,,,
2978,2,4,4,,2,true,4,false,true,true,true,,,4,4,3,,,,,,,,,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,true,4,3,3,3,3,98,3,98,,,,,,,5,3,5,5,1,1,1,0,1,1,99,99,5,1,1,5,5,5,1,1,1,1,99,99,1,1,1,99,99,99,11,3,,,,,98,,1,6,8,3,5,5,1,5,3,5,5,5,5,5,2,1,1,1,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,,,1,2,3,5,3,3,false,2,false,false,true,false,false,false,false,false,98,,0,1,97,true,0,1,3,1,3,2,0,,98,
2979,2,4,4,,2,true,3,true,true,true,true,,2,3,3,3,,,,,,,,,true,false,true,false,false,false,false,false,false,true,false,true,false,true,false,,,,,,3,3,false,false,false,false,true,false,false,false,false,false,,,,,,,,,,,2,2,5,4,4,4,4,4,4,3,2,4,2,4,true,2,2,98,1,2,3,2,1,,,,,,,3,2,5,3,3,4,1,1,1,1,0,1,5,4,4,3,4,2,3,4,2,1,1,1,1,1,0,0,1,0,6,2,,,1,7,,,1,7,10,4,4,4,4,4,4,4,4,3,4,3,4,3,1,3,4,4,3,3,3,4,5,5,4,3,3,3,4,4,4,200,6000,5,4,4,4,4,4,false,4,true,true,true,true,true,true,true,false,98,,1,1,4,false,0,0,3,2,1,95,0,,2,
2980,2,4,2,,2,true,1,true,false,false,false,,1,,,1,2,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,1,2,false,false,false,true,false,false,false,false,false,false,,,,,,,,,,,0,0,5,4,2,4,5,4,3,1,1,1,1,1,false,,,,,,,,,,,,,,,2,1,5,4,2,5,98,99,1,1,98,1,5,5,5,5,5,4,4,2,1,1,1,1,1,1,1,1,0,99,3,2,,,98,,,,0,6,5,3,2,4,1,2,1,4,4,3,3,3,2,4,3,4,3,4,4,5,4,5,4,5,3,2,2,2,4,2,3,5,7000,4,5,4,3,3,4,false,1,true,true,false,true,false,false,false,false,3,,0,1,3,false,1,1,2,2,2,95,0,,1,2
